NAME,YEAR,AUTHOR,MUSEUM,STYLE,AMOUNT,SEGURO_TOTAL
Harmony Harmony Euphoria 2289,1558,Paul Cezanne,State Hermitage Museum,Surrealism,9329693,0.367212103
Dream Forest Rhythm 2184,1815,Georgia O'Keeffe,Prado Museum,Realism,5892854,0.390469731
Harmony Memories Time 2572,1757,Peter Paul Rubens,State Hermitage Museum,Expressionism,13803595,0.073505331
Whispers Awakening Tranquility 2248,1942,Georgia O'Keeffe,Museum of Modern Art,Surrealism,7278181,0.455403389
Balance Memories Chaos 1646,1595,Georgia O'Keeffe,Museum of Modern Art,Romanticism,10181969,0.066208412
Balance Balance Reflections 2047,1529,Michelangelo Buonarroti,Louvre Museum,Impressionism,11829605,0.658221424
Tranquility Forest Awakening 1542,1842,Gustav Klimt,Prado Museum,Cubism,10161425,0.210295388
Euphoria Nature Colors 1500,1742,Lucian Freud,Uffizi Gallery,Romanticism,3813290,0.599538221
Light Harmony Colors 1995,1924,Claude Monet,Metropolitan Museum of Art,Romanticism,6429794,0.354806498
Sunset Serenity Beauty 2669,1978,Vincent van Gogh,The British Museum,Renaissance,12097677,0.165972577
Harmony Awakening Fantasy 1709,1906,Paul Cezanne,National Gallery,Baroque,10311874,0.17675997
Tranquility Love Sunset 2262,1927,Rembrandt van Rijn,Vatican Museums,Impressionism,10576740,0.079462902
Nature Ocean Serenity 2528,1731,Jasper Johns,Uffizi Gallery,Romanticism,14441930,0.994142688
Euphoria Light Euphoria 2538,1711,Jackson Pollock,The British Museum,Baroque,4432197,0.141422637
Fantasy Time Rhythm 2589,1688,Claude Monet,State Hermitage Museum,Minimalism,13600646,0.745375547
Passion Beauty Reflections 1789,1614,Henri Matisse,Louvre Museum,Romanticism,8683750,0.685164378
Forest Chaos Rhythm 1947,1880,Banksy,Tate Modern,Impressionism,6597860,0.275913677
Whispers Memories Balance 2266,1581,Mark Rothko,Museum of Modern Art,Realism,14835651,0.488886202
Forest Colors Sunset 1571,1524,Banksy,Tate Modern,Romanticism,12735922,0.411757527
Tranquility Dream Whispers 2475,1532,Alfred Sisley,Museum of Modern Art,Impressionism,14797604,0.653418842
Rhythm Colors Journey 1766,1818,Alfred Sisley,Museum of Modern Art,Cubism,7887476,0.959258704
Reflections Fantasy Journey 1685,1862,Jean-Michel Basquiat,Museum of Modern Art,Impressionism,8175167,0.401369469
Nature Forest Balance 2307,1807,Lucian Freud,Metropolitan Museum of Art,Renaissance,10612528,0.537794469
Awakening Time Balance 1630,1706,Vincent van Gogh,State Hermitage Museum,Abstract,1437232,0.281217174
Forest Harmony Tranquility 1879,1755,Georgia O'Keeffe,Uffizi Gallery,Abstract,8558247,0.715975262
Journey Ocean Time 1863,2005,Jackson Pollock,Uffizi Gallery,Abstract,14067056,0.816081562
Abstract Serenity Abstract 1670,1655,Vincent van Gogh,Metropolitan Museum of Art,Realism,5198173,0.990648748
Forest Chaos Sunset 2642,1506,Edvard Munch,National Gallery,Abstract,6702732,0.329227378
Beauty Nature Fantasy 1642,2010,Gustav Klimt,Metropolitan Museum of Art,Surrealism,8701692,0.270146115
Whispers Love Love 1638,1732,Henri Matisse,State Hermitage Museum,Baroque,14180238,0.195301812
Serenity Beauty Journey 1920,1936,Andy Warhol,National Gallery,Minimalism,6954275,0.328654104
Fantasy Reflections Forest 1970,1701,Edouard Manet,Uffizi Gallery,Expressionism,11967231,0.091366243
Forest Euphoria Beauty 1660,1873,Alfred Sisley,Louvre Museum,Surrealism,13049236,0.662217578
Balance Serenity Abstract 2389,1671,Lucian Freud,Louvre Museum,Renaissance,1592086,0.081013268
Journey Love Forest 2111,1947,Rembrandt van Rijn,National Gallery,Abstract,11115826,0.998267874
Sunset Reflections Ocean 1508,1745,Edouard Manet,Louvre Museum,Impressionism,9128628,0.419312931
Light Whispers Harmony 2314,2013,Pablo Picasso,Tate Modern,Realism,5997545,0.599147081
Forest Tranquility Time 2422,1867,Rembrandt van Rijn,Vatican Museums,Minimalism,14429189,0.831651927
Ocean Fantasy Colors 2244,1856,Caravaggio,Tate Modern,Minimalism,14137401,0.497335591
Nature Euphoria Colors 2000,1830,Caravaggio,The British Museum,Surrealism,10623594,0.03014069
Forest Balance Serenity 1830,1520,Caravaggio,Metropolitan Museum of Art,Surrealism,3489578,0.403726506
Nature Light Ocean 2175,1594,Caravaggio,Metropolitan Museum of Art,Cubism,12001557,0.249684033
Memories Reflections Harmony 2049,1696,Banksy,National Gallery,Abstract,2240878,0.123704851
Euphoria Journey Dream 2034,1798,Jackson Pollock,Museum of Modern Art,Minimalism,14969096,0.171058841
Forest Balance Colors 2594,1937,Frida Kahlo,Tate Modern,Baroque,2955830,0.147225719
Light Dream Reflections 2047,1989,Claude Monet,State Hermitage Museum,Romanticism,7155328,0.308363601
Chaos Harmony Love 2107,1618,Andy Warhol,The British Museum,Renaissance,10482316,0.693381757
Forest Balance Serenity 1834,1539,Jean-Michel Basquiat,Uffizi Gallery,Romanticism,2281977,0.269469363
Ocean Harmony Euphoria 2190,1504,Alfred Sisley,The British Museum,Renaissance,9154208,0.15072084
Colors Colors Passion 2298,1917,Rembrandt van Rijn,Uffizi Gallery,Minimalism,4812096,0.573924753
Love Colors Colors 2285,1887,Vincent van Gogh,Uffizi Gallery,Impressionism,12905315,0.268583798
Awakening Chaos Colors 2466,1654,Mark Rothko,Prado Museum,Abstract,9071109,0.18152841
Serenity Reflections Rhythm 2518,1813,Lucian Freud,Uffizi Gallery,Surrealism,10724359,0.953625352
Memories Dream Abstract 1771,1825,Henri Matisse,Prado Museum,Realism,3765966,0.975997448
Love Whispers Fantasy 1668,1704,Andy Warhol,Louvre Museum,Realism,4249072,0.733377973
Journey Abstract Journey 1564,1787,Vincent van Gogh,Tate Modern,Romanticism,9645588,0.712548129
Tranquility Fantasy Abstract 2201,1895,Leonardo da Vinci,Metropolitan Museum of Art,Romanticism,8735906,0.71046571
Journey Euphoria Light 2580,1695,Gustav Klimt,Museum of Modern Art,Impressionism,6239400,0.902672377
Journey Journey Time 1774,1609,Caravaggio,Tate Modern,Renaissance,7983457,0.911427761
Whispers Sunset Sunset 2113,1922,Jasper Johns,National Gallery,Romanticism,12987855,0.78401745
Love Abstract Forest 1665,1569,Pablo Picasso,National Gallery,Surrealism,14427831,0.422744962
Forest Passion Time 2446,1647,Edvard Munch,Prado Museum,Romanticism,2483671,0.652770288
Ocean Euphoria Awakening 2450,1921,Andy Warhol,State Hermitage Museum,Surrealism,9335668,0.461138527
Abstract Ocean Awakening 2400,1530,Frida Kahlo,Tate Modern,Abstract,6234815,0.189658202
Awakening Forest Abstract 1785,1511,Frida Kahlo,Metropolitan Museum of Art,Baroque,7439671,0.087206021
Love Sunset Memories 2575,1508,Jasper Johns,The British Museum,Surrealism,6279157,0.574759884
Beauty Memories Beauty 2225,1783,Jasper Johns,Louvre Museum,Romanticism,2351170,0.945091888
Euphoria Euphoria Passion 1748,1631,Edouard Manet,Uffizi Gallery,Expressionism,5534635,0.209643333
Balance Forest Forest 2232,1679,Rembrandt van Rijn,The British Museum,Minimalism,4301676,0.213873003
Ocean Whispers Harmony 2233,1708,Diego Rivera,National Gallery,Minimalism,4160303,0.562273408
Light Passion Sunset 2300,1714,Vincent van Gogh,Museum of Modern Art,Baroque,12905493,0.319757842
Euphoria Tranquility Sunset 1634,1828,Rembrandt van Rijn,National Gallery,Impressionism,3670819,0.556358627
Rhythm Journey Love 1564,1630,Georgia O'Keeffe,Vatican Museums,Surrealism,5150673,0.374473815
Nature Rhythm Ocean 2252,1786,Michelangelo Buonarroti,State Hermitage Museum,Baroque,10708237,0.650153703
Love Balance Dream 2531,1845,Diego Rivera,Metropolitan Museum of Art,Realism,1976526,0.517006635
Abstract Fantasy Euphoria 2303,1825,Claude Monet,Vatican Museums,Impressionism,9488957,0.859843063
Harmony Whispers Forest 2082,1634,Caravaggio,Louvre Museum,Realism,5149576,0.325258414
Forest Harmony Time 1705,1732,Caravaggio,Vatican Museums,Expressionism,3591059,0.216382877
Rhythm Light Rhythm 2371,1729,Claude Monet,The British Museum,Expressionism,5099649,0.029957307
Reflections Reflections Memories 2609,1678,Lucian Freud,State Hermitage Museum,Realism,7923249,0.0644447
Forest Serenity Dream 2634,1913,Andy Warhol,Tate Modern,Surrealism,2095446,0.951860176
Journey Fantasy Harmony 2467,1792,Banksy,The British Museum,Surrealism,8537415,0.89361503
Rhythm Fantasy Light 2406,1630,Pablo Picasso,Tate Modern,Impressionism,12939120,0.240891178
Awakening Reflections Time 1563,1985,Edvard Munch,Museum of Modern Art,Surrealism,7806453,0.950170909
Whispers Balance Nature 2212,1891,Jasper Johns,Uffizi Gallery,Minimalism,5989857,0.876347311
Balance Harmony Journey 1518,1827,Caravaggio,Vatican Museums,Expressionism,7387687,0.387595744
Abstract Balance Reflections 2128,1527,Rembrandt van Rijn,Prado Museum,Expressionism,13917890,0.918487119
Chaos Abstract Harmony 2320,2000,Claude Monet,Prado Museum,Minimalism,9267338,0.806321922
Awakening Fantasy Forest 2361,1871,Andy Warhol,Uffizi Gallery,Surrealism,14318963,0.123606207
Reflections Colors Memories 1842,1917,Edouard Manet,Metropolitan Museum of Art,Realism,9344865,0.144627369
Serenity Journey Colors 1922,1649,Andy Warhol,Uffizi Gallery,Renaissance,8704651,0.651980865
Dream Ocean Rhythm 2511,1798,Jackson Pollock,Metropolitan Museum of Art,Renaissance,3934898,0.714686362
Ocean Nature Abstract 2489,1803,Edouard Manet,Louvre Museum,Surrealism,10129771,0.35467934
Chaos Colors Tranquility 2470,1678,Salvador Dali,State Hermitage Museum,Abstract,12576384,0.246504265
Dream Journey Passion 1513,1551,Banksy,The British Museum,Surrealism,4044718,0.1308186
Serenity Passion Chaos 2015,1799,Pablo Picasso,Prado Museum,Impressionism,4344464,0.81120198
Dream Fantasy Love 2623,1684,Jean-Michel Basquiat,Louvre Museum,Minimalism,13715399,0.019707452
Journey Rhythm Love 1579,1783,Edvard Munch,Vatican Museums,Baroque,3102812,0.450201377
Whispers Whispers Euphoria 1973,1585,Jackson Pollock,Uffizi Gallery,Surrealism,8066932,0.520989541
Abstract Rhythm Harmony 1678,1826,Lucian Freud,Uffizi Gallery,Expressionism,9121300,0.558530661
Chaos Awakening Fantasy 1514,1582,Mark Rothko,State Hermitage Museum,Baroque,2657946,0.310800062
Light Ocean Forest 2515,1552,Diego Rivera,Metropolitan Museum of Art,Romanticism,6096293,0.132514788
Abstract Awakening Rhythm 2287,1837,Leonardo da Vinci,Tate Modern,Minimalism,4063635,0.502553082
Time Balance Time 1903,2009,Rembrandt van Rijn,Museum of Modern Art,Romanticism,5687922,0.148974154
Serenity Nature Whispers 2102,2013,Peter Paul Rubens,Prado Museum,Realism,9885246,0.95630841
Euphoria Fantasy Harmony 2012,1944,Henri Matisse,National Gallery,Romanticism,6667251,0.174121848
Serenity Rhythm Journey 2177,1961,Michelangelo Buonarroti,Metropolitan Museum of Art,Realism,4175656,0.360203545
Light Journey Passion 2607,1543,Henri Matisse,Vatican Museums,Baroque,7509433,0.566003934
Dream Euphoria Colors 2695,1781,Jean-Michel Basquiat,Louvre Museum,Romanticism,11185834,0.208465112
Time Forest Harmony 1698,1815,Alfred Sisley,Uffizi Gallery,Realism,10294213,0.948803001
Memories Ocean Ocean 2613,1564,Peter Paul Rubens,Tate Modern,Baroque,2129991,0.189742907
Dream Dream Memories 1975,1957,Edvard Munch,National Gallery,Abstract,1653876,0.310902273
Love Beauty Ocean 2218,1915,Edouard Manet,Prado Museum,Surrealism,14094622,0.379840708
Sunset Time Passion 1630,1682,Henri Matisse,Louvre Museum,Renaissance,6481449,0.097619632
Dream Colors Reflections 2234,1529,Caravaggio,Louvre Museum,Renaissance,1916700,0.406092289
Time Chaos Passion 1989,1623,Gustav Klimt,Metropolitan Museum of Art,Impressionism,14724936,0.645084728
Beauty Passion Journey 1552,2019,Jackson Pollock,Prado Museum,Cubism,10321937,0.357522219
Colors Ocean Ocean 1913,1591,Andy Warhol,Museum of Modern Art,Impressionism,11793339,0.61687864
Forest Ocean Awakening 1922,1513,Claude Monet,Louvre Museum,Renaissance,14677971,0.630181257
Passion Sunset Fantasy 2368,1502,Jackson Pollock,Metropolitan Museum of Art,Expressionism,8190709,0.885120907
Forest Awakening Reflections 1900,1794,Edouard Manet,Uffizi Gallery,Realism,4829406,0.805096046
Harmony Journey Awakening 1907,1915,Alfred Sisley,Metropolitan Museum of Art,Romanticism,7967997,0.862077703
Light Chaos Euphoria 2355,1814,Paul Cezanne,National Gallery,Baroque,6489618,0.316363192
Harmony Balance Passion 2282,1677,Rembrandt van Rijn,Vatican Museums,Minimalism,4054307,0.661041046
Abstract Forest Dream 2225,1512,Rembrandt van Rijn,Museum of Modern Art,Baroque,14283091,0.84152519
Beauty Colors Nature 2367,1907,Paul Cezanne,National Gallery,Abstract,1792025,0.171731361
Serenity Passion Sunset 2497,1923,Jackson Pollock,The British Museum,Renaissance,5967378,0.060340539
Time Awakening Memories 2019,1503,Lucian Freud,Prado Museum,Cubism,7342603,0.84504502
Memories Balance Light 1539,1501,Salvador Dali,Vatican Museums,Abstract,1562470,0.335867822
Light Passion Nature 2158,1914,Lucian Freud,The British Museum,Abstract,11469315,0.615106513
Reflections Harmony Balance 2063,1540,Peter Paul Rubens,Vatican Museums,Surrealism,6397992,0.688293982
Light Forest Whispers 2699,1657,Alfred Sisley,Museum of Modern Art,Renaissance,5823255,0.897544225
Dream Nature Journey 1738,1634,Banksy,Metropolitan Museum of Art,Baroque,14213790,0.766157085
Memories Sunset Time 1829,1650,Salvador Dali,National Gallery,Romanticism,10046460,0.466123249
Tranquility Passion Whispers 2311,1707,Paul Cezanne,Vatican Museums,Realism,2719517,0.076074027
Balance Beauty Euphoria 1643,1543,Georgia O'Keeffe,Metropolitan Museum of Art,Expressionism,14157048,0.364475333
Rhythm Tranquility Light 2659,1681,Jean-Michel Basquiat,Uffizi Gallery,Realism,1644695,0.194547111
Nature Time Sunset 2149,1893,Jean-Michel Basquiat,Uffizi Gallery,Realism,6163099,0.911917014
Passion Sunset Balance 2090,1709,Michelangelo Buonarroti,State Hermitage Museum,Impressionism,4423031,0.000281167
Dream Rhythm Journey 2187,1774,Frida Kahlo,Museum of Modern Art,Baroque,10620684,0.312258573
Light Reflections Tranquility 1602,1901,Edouard Manet,Metropolitan Museum of Art,Surrealism,4971023,0.613682726
Whispers Harmony Fantasy 1678,1636,Caravaggio,Metropolitan Museum of Art,Cubism,6334061,0.286844773
Time Beauty Whispers 1624,1595,Salvador Dali,Prado Museum,Renaissance,10870659,0.76963943
Euphoria Memories Memories 2538,1996,Paul Cezanne,Prado Museum,Expressionism,14307624,0.187965197
Sunset Passion Journey 1597,1766,Michelangelo Buonarroti,Metropolitan Museum of Art,Impressionism,13289329,0.466170798
Balance Harmony Love 1894,1644,Claude Monet,The British Museum,Renaissance,10720535,0.402460526
Time Chaos Rhythm 1704,1911,Rembrandt van Rijn,State Hermitage Museum,Impressionism,9956793,0.251262547
Ocean Abstract Memories 2549,1807,Jean-Michel Basquiat,Uffizi Gallery,Cubism,6147741,0.512542731
Fantasy Ocean Awakening 2465,1981,Andy Warhol,Metropolitan Museum of Art,Cubism,10950478,0.433163495
Harmony Forest Balance 2365,1764,Pablo Picasso,Museum of Modern Art,Romanticism,7795193,0.651136982
Serenity Awakening Beauty 1628,1745,Peter Paul Rubens,Uffizi Gallery,Impressionism,14949070,0.499891964
Nature Euphoria Balance 1892,1847,Claude Monet,Tate Modern,Baroque,5943962,0.236705308
Memories Colors Colors 1925,1680,Caravaggio,Prado Museum,Cubism,13843808,0.034180661
Nature Chaos Euphoria 2405,1733,Pablo Picasso,Metropolitan Museum of Art,Cubism,12797402,0.796875303
Love Harmony Euphoria 2233,2021,Paul Cezanne,Museum of Modern Art,Surrealism,13807345,0.857144339
Ocean Tranquility Light 2023,1691,Jean-Michel Basquiat,Louvre Museum,Expressionism,11052761,0.372706547
Awakening Awakening Whispers 2065,1532,Banksy,Uffizi Gallery,Renaissance,9243464,0.693429874
Fantasy Serenity Rhythm 1813,1558,Alfred Sisley,The British Museum,Surrealism,2113037,0.16714408
Rhythm Balance Abstract 2583,1632,Leonardo da Vinci,Tate Modern,Realism,11294392,0.348507141
Sunset Rhythm Journey 1819,1869,Frida Kahlo,Uffizi Gallery,Impressionism,14181852,0.352682741
Light Beauty Chaos 1547,1577,Edvard Munch,Metropolitan Museum of Art,Expressionism,13818282,0.004301515
Dream Chaos Rhythm 2066,2017,Georgia O'Keeffe,Louvre Museum,Cubism,4681911,0.908119718
Light Forest Ocean 2054,1668,Salvador Dali,Museum of Modern Art,Surrealism,1959359,0.569060576
Ocean Harmony Reflections 2036,1672,Andy Warhol,Uffizi Gallery,Renaissance,7421673,0.962629715
Abstract Ocean Sunset 1814,1722,Mark Rothko,Museum of Modern Art,Renaissance,9486728,0.415333155
Time Euphoria Journey 1556,1840,Paul Cezanne,Prado Museum,Minimalism,14175494,0.450147576
Nature Sunset Memories 2349,1792,Banksy,The British Museum,Abstract,3332052,0.87883327
Beauty Awakening Abstract 1530,1780,Rembrandt van Rijn,The British Museum,Romanticism,14831353,0.306031624
Reflections Awakening Balance 1987,1675,Gustav Klimt,The British Museum,Surrealism,1294110,0.902204206
Reflections Passion Colors 1842,1876,Rembrandt van Rijn,National Gallery,Cubism,14569922,0.316041397
Euphoria Passion Whispers 1729,1740,Caravaggio,Metropolitan Museum of Art,Baroque,5525274,0.330853232
Abstract Colors Abstract 2177,1662,Michelangelo Buonarroti,National Gallery,Surrealism,9100959,0.571384477
Journey Colors Serenity 2664,1741,Peter Paul Rubens,Museum of Modern Art,Abstract,10956986,0.795372648
Euphoria Harmony Chaos 1825,1766,Edvard Munch,The British Museum,Expressionism,6279192,0.338981353
Euphoria Reflections Memories 2311,1571,Salvador Dali,Louvre Museum,Impressionism,3634222,0.786724704
Rhythm Nature Memories 2013,1646,Peter Paul Rubens,Vatican Museums,Expressionism,13611392,0.933122558
Journey Dream Love 2524,1948,Caravaggio,Metropolitan Museum of Art,Abstract,4558418,0.850800056
Ocean Colors Memories 2330,2013,Paul Cezanne,The British Museum,Realism,3824862,0.94033729
Reflections Harmony Forest 2363,1524,Pablo Picasso,National Gallery,Minimalism,3365564,0.111371278
Journey Love Euphoria 2591,1695,Edouard Manet,Tate Modern,Abstract,7356947,0.04282164
Memories Time Memories 2233,1518,Henri Matisse,The British Museum,Surrealism,13312813,0.101971279
Harmony Balance Love 1969,1948,Vincent van Gogh,Louvre Museum,Realism,11907069,0.953785928
Light Dream Colors 2624,1994,Lucian Freud,Louvre Museum,Realism,11318011,0.968708358
Dream Euphoria Rhythm 2689,1969,Andy Warhol,Louvre Museum,Baroque,13069290,0.622478133
Serenity Abstract Sunset 1822,1904,Gustav Klimt,Metropolitan Museum of Art,Impressionism,2171196,0.760929285
Whispers Time Rhythm 2442,1505,Jackson Pollock,National Gallery,Abstract,10888089,0.519003859
Whispers Reflections Abstract 1834,1860,Lucian Freud,Tate Modern,Baroque,13380353,0.743513419
Harmony Harmony Harmony 2540,1543,Diego Rivera,Vatican Museums,Realism,1869416,0.986723488
Journey Chaos Serenity 2565,1673,Gustav Klimt,Metropolitan Museum of Art,Romanticism,3803401,0.85290544
Nature Colors Forest 1625,1785,Rembrandt van Rijn,Tate Modern,Impressionism,8606347,0.950729272
Awakening Passion Colors 1601,1882,Georgia O'Keeffe,National Gallery,Minimalism,2159240,0.81643011
Tranquility Rhythm Colors 2658,1922,Pablo Picasso,Museum of Modern Art,Realism,8705487,0.555510813
Time Nature Love 2158,1833,Pablo Picasso,The British Museum,Abstract,1795016,0.65231635
Rhythm Awakening Awakening 2621,1775,Paul Cezanne,Uffizi Gallery,Expressionism,6140549,0.164339799
Chaos Ocean Time 2098,1734,Henri Matisse,Metropolitan Museum of Art,Abstract,9825741,0.926854075
Sunset Forest Abstract 2509,1818,Diego Rivera,The British Museum,Abstract,14766686,0.181505551
Sunset Love Harmony 2640,1834,Alfred Sisley,Uffizi Gallery,Expressionism,2865122,0.087375816
Harmony Reflections Awakening 2508,1878,Paul Cezanne,Louvre Museum,Realism,1568831,0.686083906
Fantasy Abstract Whispers 2601,1815,Andy Warhol,State Hermitage Museum,Impressionism,5778753,0.273868169
Whispers Ocean Awakening 2657,1917,Edvard Munch,Louvre Museum,Renaissance,9287571,0.56006982
Rhythm Abstract Love 2384,1794,Jasper Johns,Museum of Modern Art,Renaissance,10200720,0.692533769
Forest Ocean Beauty 2313,1967,Gustav Klimt,Museum of Modern Art,Impressionism,7543762,0.030228434
Serenity Euphoria Journey 2689,1722,Diego Rivera,Louvre Museum,Surrealism,2208783,0.433107501
Reflections Tranquility Forest 2531,1624,Banksy,The British Museum,Minimalism,12102210,0.728003659
Reflections Tranquility Time 2181,1669,Leonardo da Vinci,Tate Modern,Romanticism,8646565,0.07123612
Sunset Nature Reflections 2308,1596,Paul Cezanne,Museum of Modern Art,Baroque,1914009,0.488392936
Time Abstract Beauty 1722,1957,Rembrandt van Rijn,Museum of Modern Art,Expressionism,3056758,0.644916776
Balance Forest Love 2101,1854,Leonardo da Vinci,Tate Modern,Minimalism,14385556,0.470899298
Dream Love Beauty 2358,1963,Rembrandt van Rijn,Tate Modern,Expressionism,6384576,0.89063743
Ocean Ocean Tranquility 2500,1986,Diego Rivera,Prado Museum,Minimalism,8715049,0.21780434
Beauty Sunset Ocean 1635,1894,Mark Rothko,Prado Museum,Renaissance,3228684,0.579489861
Tranquility Tranquility Ocean 1615,1729,Lucian Freud,Museum of Modern Art,Cubism,3028498,0.459435811
Passion Forest Nature 2282,1623,Lucian Freud,Uffizi Gallery,Abstract,2261597,0.903593276
Ocean Colors Rhythm 2405,1727,Edouard Manet,Vatican Museums,Renaissance,4117698,0.430552955
Love Beauty Reflections 2391,1653,Georgia O'Keeffe,Vatican Museums,Minimalism,4558473,0.713772158
Colors Chaos Serenity 1642,1686,Pablo Picasso,Metropolitan Museum of Art,Minimalism,4363191,0.036251128
Awakening Reflections Light 1833,1505,Gustav Klimt,National Gallery,Minimalism,1806868,0.074522766
Journey Nature Dream 1527,1907,Rembrandt van Rijn,Museum of Modern Art,Abstract,10622719,0.891407233
Forest Colors Dream 2233,1883,Paul Cezanne,National Gallery,Impressionism,3657460,0.928095427
Sunset Ocean Tranquility 1927,1866,Caravaggio,Uffizi Gallery,Baroque,3478380,0.941014261
Ocean Balance Awakening 1615,1617,Pablo Picasso,State Hermitage Museum,Baroque,5300169,0.373961103
Tranquility Journey Fantasy 2579,1809,Pablo Picasso,Uffizi Gallery,Baroque,4936797,0.095049415
Harmony Beauty Sunset 2538,1926,Edouard Manet,Vatican Museums,Baroque,11508099,0.222584729
Love Rhythm Chaos 2342,1692,Mark Rothko,Tate Modern,Impressionism,6515576,0.730107121
Reflections Euphoria Beauty 1663,1815,Mark Rothko,Museum of Modern Art,Romanticism,2812228,0.8926301
Love Reflections Memories 2614,1842,Lucian Freud,National Gallery,Abstract,14449452,0.925907315
Dream Awakening Sunset 2573,1667,Jasper Johns,National Gallery,Surrealism,4902707,0.368117742
Ocean Tranquility Harmony 2665,1543,Pablo Picasso,Uffizi Gallery,Baroque,7798227,0.487358408
Forest Dream Dream 2048,1551,Pablo Picasso,Prado Museum,Minimalism,7958795,0.673716233
Nature Light Fantasy 2288,1543,Georgia O'Keeffe,Vatican Museums,Realism,11961690,0.751846046
Passion Love Journey 2537,1652,Mark Rothko,Prado Museum,Surrealism,10172137,0.915374095
Nature Harmony Colors 2476,1762,Jackson Pollock,Museum of Modern Art,Renaissance,2546427,0.920995227
Reflections Balance Tranquility 2019,1726,Diego Rivera,Museum of Modern Art,Surrealism,4368869,0.742213976
Journey Chaos Euphoria 2335,1902,Jasper Johns,Tate Modern,Expressionism,8268311,0.479161956
Awakening Reflections Light 1862,1750,Alfred Sisley,The British Museum,Renaissance,1819184,0.713167599
Euphoria Beauty Serenity 2259,1752,Pablo Picasso,Tate Modern,Impressionism,4047001,0.596238526
Light Serenity Chaos 1828,1919,Edouard Manet,Vatican Museums,Baroque,3172006,0.499774963
Forest Time Journey 2116,1707,Pablo Picasso,State Hermitage Museum,Realism,5462130,0.324149057
Serenity Balance Ocean 1611,1653,Andy Warhol,State Hermitage Museum,Abstract,14388211,0.000149665
Journey Love Light 1907,1874,Edouard Manet,Louvre Museum,Realism,6326719,0.029997916
Whispers Memories Abstract 1911,1962,Alfred Sisley,Museum of Modern Art,Renaissance,9743337,0.063094303
Fantasy Forest Euphoria 2112,1801,Diego Rivera,Vatican Museums,Impressionism,11085064,0.000557889
Time Harmony Tranquility 2655,1870,Lucian Freud,Prado Museum,Baroque,14352560,0.414411598
Balance Passion Ocean 2508,1648,Pablo Picasso,Metropolitan Museum of Art,Expressionism,14628297,0.376317371
Nature Forest Harmony 2645,1592,Frida Kahlo,Vatican Museums,Romanticism,9863135,0.387766792
Colors Love Rhythm 2339,1787,Caravaggio,Vatican Museums,Realism,1453403,0.404732823
Journey Dream Memories 1990,1628,Rembrandt van Rijn,Prado Museum,Impressionism,4558008,0.959328776
Sunset Harmony Light 1633,1801,Diego Rivera,Tate Modern,Realism,3451220,0.641285964
Nature Awakening Light 2107,1507,Michelangelo Buonarroti,State Hermitage Museum,Romanticism,6163192,0.224350184
Balance Sunset Rhythm 1601,1975,Jean-Michel Basquiat,Vatican Museums,Impressionism,2918943,0.705650211
Chaos Love Euphoria 2127,2003,Edvard Munch,Metropolitan Museum of Art,Cubism,12678560,0.137785996
Memories Reflections Forest 2540,1729,Michelangelo Buonarroti,State Hermitage Museum,Renaissance,9208458,0.669807916
Journey Euphoria Love 2490,1985,Salvador Dali,Louvre Museum,Realism,13529811,0.29829413
Sunset Memories Colors 1806,1565,Alfred Sisley,Uffizi Gallery,Baroque,7104135,0.606710822
Reflections Dream Colors 2414,1682,Jackson Pollock,The British Museum,Surrealism,10963740,0.891714991
Abstract Serenity Whispers 2092,1796,Paul Cezanne,Vatican Museums,Abstract,1161415,0.359353521
Love Journey Rhythm 1636,1629,Edouard Manet,National Gallery,Romanticism,13840265,0.681902275
Sunset Memories Rhythm 2259,1610,Paul Cezanne,Vatican Museums,Realism,3802665,0.775016603
Dream Sunset Tranquility 2366,1806,Caravaggio,The British Museum,Expressionism,5518556,0.088501051
Fantasy Forest Memories 2410,1640,Claude Monet,Metropolitan Museum of Art,Romanticism,6793386,0.078613967
Reflections Reflections Reflections 2002,1559,Leonardo da Vinci,Metropolitan Museum of Art,Impressionism,2046857,0.830942343
Colors Fantasy Chaos 1816,1715,Jackson Pollock,National Gallery,Abstract,11919482,0.800071545
Harmony Sunset Balance 1895,1530,Jasper Johns,State Hermitage Museum,Abstract,4078789,0.182921109
Passion Dream Time 2579,2008,Henri Matisse,Vatican Museums,Realism,2735840,0.423648406
Harmony Reflections Whispers 2282,1592,Mark Rothko,Uffizi Gallery,Realism,13849604,0.199635749
Dream Abstract Serenity 1839,1715,Banksy,Prado Museum,Surrealism,3900546,0.160370396
Serenity Light Euphoria 2599,1776,Lucian Freud,Uffizi Gallery,Renaissance,4003506,0.514294548
Abstract Passion Ocean 1521,1808,Salvador Dali,Uffizi Gallery,Renaissance,10497994,0.940091665
Memories Journey Dream 1622,2020,Paul Cezanne,Uffizi Gallery,Expressionism,3700414,0.990768021
Awakening Sunset Chaos 1551,1557,Rembrandt van Rijn,Vatican Museums,Realism,13411225,0.749751906
Serenity Time Memories 2218,1623,Paul Cezanne,Uffizi Gallery,Realism,8656261,0.550115507
Forest Rhythm Time 1614,1648,Rembrandt van Rijn,Prado Museum,Cubism,12302799,0.958158894
Harmony Time Time 2602,1901,Jasper Johns,Prado Museum,Surrealism,13275420,0.15510199
